"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"161",0,7,0,0,0,5,2,0,0,0,0,0,0,0,19,0
"162",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",0,22,0,0,2,56,0,0,0,0,0,0,0,0,10,0
"164",0,0,0,0,0,40,0,0,0,0,0,0,19,0,0,0
"165",0,0,0,0,0,0,0,0,0,33,0,0,0,0,5,0
"166",0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0
"167",0,0,0,0,0,0,8,0,0,4,2,0,0,0,0,0
"168",0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0
"169",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"170",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"171",0,13,0,0,0,45,0,0,0,0,1,0,5,0,12,0
"172",0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"173",0,8,0,0,0,15,1,0,0,0,3,0,0,0,1,0
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"175",0,0,1,0,0,0,6,2,0,1,3,0,0,0,0,0
"176",0,0,0,0,0,0,0,2,0,1,0,0,0,0,5,0
"177",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"178",0,2,0,0,0,71,0,1,0,0,3,2,0,0,0,0
"179",0,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0
"180",0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0
"181",0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0
"182",0,0,0,0,0,2,0,0,0,3,14,0,0,0,3,0
"183",0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0
"184",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"185",0,13,0,0,0,0,2,2,0,0,0,0,0,0,0,0
"186",0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"187",0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"188",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"190",1,0,0,0,9,0,0,1,0,1,2,0,0,0,0,0
"191",0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0
"192",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"193",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"195",0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
"196",0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0
"197",0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
"198",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"199",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"201",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"202",0,61,0,0,0,2,0,0,1,0,1,0,0,0,5,0
"203",0,33,0,0,0,2,0,0,0,0,1,0,0,0,27,0
"204",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"205",0,37,0,0,1,52,0,2,0,0,0,0,0,0,151,0
"206",0,9,0,0,0,27,1,0,0,0,0,0,0,0,36,0
"207",0,9,0,0,0,10,4,1,0,2,0,0,0,0,5,0
"208",0,11,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"209",0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"211",4,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0
"212",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"213",1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"214",1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
"215",0,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0
"216",0,15,1,0,0,0,0,1,0,1,0,0,0,0,9,0
"217",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"219",1,0,0,0,0,0,2,0,0,6,0,0,0,0,3,0
