"","alcid","bufflehead","cormorant","dabbling duck","goldeneye","goose","grebe","gull","Harlequin duck","long-tailed duck","loon","merganser","ruddy duck","scaup","scoter","Z.UNK"
"145",0,0,0,0,0,0,0,0,0,27,0,0,0,0,6,0
"146",0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
"147",0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,0
"148",0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2
"149",0,0,0,0,0,0,0,0,0,14,0,0,0,0,16,6
"150",0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,0
"151",0,0,0,0,0,0,0,0,0,3,1,0,0,0,4,0
"152",0,0,0,0,0,12,0,0,0,6,0,0,0,0,4,0
"153",0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
"154",0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,0
"155",0,0,0,0,0,0,0,0,0,9,0,0,0,0,8,1
"156",0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0
"157",0,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0
"158",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"159",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"160",0,0,0,0,0,19,0,1,0,0,0,0,0,0,0,0
"161",0,1,0,0,0,0,0,0,0,2,0,0,0,0,13,1
"162",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"163",0,9,0,0,1,0,0,0,0,0,0,0,0,0,4,0
"164",0,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0
"165",0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,3
"166",0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
"167",1,0,0,0,0,0,5,0,0,1,2,0,0,0,0,0
"168",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"169",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"171",0,0,0,0,0,55,0,0,0,0,0,0,5,0,9,1
"172",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173",0,7,0,0,0,1,2,0,0,0,1,0,0,0,0,0
"174",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"175",0,0,0,0,0,0,0,1,0,0,10,0,0,0,2,0
"176",0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178",0,2,0,0,0,10,0,1,0,0,0,0,0,0,0,0
"179",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180",0,5,0,0,0,0,0,1,0,0,3,0,0,0,0,0
"181",0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0
"182",0,0,0,0,0,7,0,0,0,2,1,0,0,0,4,0
"183",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"184",0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"185",0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"186",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"187",0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"188",0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"189",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"190",0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0
"191",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"192",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"193",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"194",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"195",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"197",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"198",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
