"","X","TransectGroup","SPECIES","Count.FF","Count.POV","Count.BM","Count.TC","Photo.ID","BSS.1","BSS.2","BSS.3","Glare.1","Glare.2","Glare.3","BH.W","BH.F","BH.WF","BH.FW","BH.2F1W","BH.B","BH.BW","BH.Piling","BH.P","BH.F1W","BH.M","BH.H","BH.R","platform","Group","sp.group"
"151","259","20120308_047 6","UNAC",0,0,"4","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 6","UNAC"
"152","260","20120308_047 6","UNDD",0,0,"0","4","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 6","UNDD"
"153","261","20120308_047 7","COMU",1,1,"0","0","6808","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 7","common murre"
"154","262","20120308_047 8","COMU",1,1,"1","0","6822","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 8","common murre"
"155","263","20120308_048 1","PIGU",1,0,"0","0","3881","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","8 1","pigeon guillemot"
"156","265","20120308_048 2","UNGU",0,0,"0","0","3905","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","8 2","gull"
"157","266","20120308_048 3","UNSB",0,0,"0","0","3918","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 3","UNSB"
"158","267","20120308_048 3","UNSC",0,0,"0","1","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","8 3","UNSC"
"159","268","20120308_051 1","COMU",1,1,"1","1","7390","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1 1","common murre"
"160","269","20120308_062 1","COMU",0,0,"1","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","2 1","common murre"
"161","272","20120308_063 3","COMU",1,1,"1","1","9054","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","3 3","common murre"
"162","274","20120308_067 2","WWSC",2,2,"2","2","9495","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 2","white-winged scoter"
"163","275","20120308_067 3","BLBR",1,0,"3","3","5276","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","7 3","goose"
"164","276","20120308_067 4","COLO",1,1,"1","1","9521","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","7 4","common loon"
