alcid,bufflehead,cormorant,dabbling duck,goldeneye,goose,grebe,gull,Harlequin duck,long-tailed duck,loon,merganser,ruddy duck,scaup,scoter,Z.UNK
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0
0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,6,0,0,0,0,0,4,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0
0,5,1,0,1,0,0,0,0,0,2,0,0,0,3,0
14,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,5,0,0,0,0,0,0,0,3,0
2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0,6,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,160,0,0,2,2,0,0,0,0,0,1,0,0,0,0
0,58,0,0,0,6,0,0,0,1,0,0,0,0,7,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,16,0,0,18,0,0,0,0,0,0
0,0,0,0,0,0,1,5,0,7,0,0,0,0,2,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0
1,0,0,0,0,0,0,2,0,4,0,0,0,0,4,0
6,0,0,0,0,0,1,1,0,0,0,9,0,0,0,0
0,0,0,0,0,0,0,1,0,4,0,0,0,0,3,0
0,0,0,0,0,0,0,0,4,10,1,0,0,0,4,0
1,4,0,0,0,0,0,0,2,3,0,0,0,0,9,0
1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
1,28,0,0,0,0,0,6,0,0,0,0,0,0,0,0
0,38,0,0,1,0,0,0,0,0,0,2,0,0,0,0
0,43,0,0,1,7,0,0,1,0,0,0,0,0,1,0
19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0
0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,2,0,1,3,0,0,1,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,6,0,0,0,2,1,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0
0,28,1,0,0,0,1,3,0,0,1,11,0,1,2,0
2,0,0,0,0,0,31,0,0,0,1,0,0,17,35,0
1,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
4,36,0,12,2,0,24,25,0,0,2,2,0,0,11,0
0,31,1,0,1,20,2,4,22,0,0,2,0,0,2,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0
164,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
71,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0
32,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,1,2,3,0,0,0,0,6,0
0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,2,0,0,0,4,20,2,2,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,0,4,0,0,0,38,0,0,0,0
0,9,0,148,0,0,0,197,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,19,4,0,2,0,2,1,0,0,0,0,0,0,10,0
0,1,0,0,0,0,1,0,4,0,0,0,0,0,4,0
0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,49,0,11,0,0,0,26,0,0,0,0,0,0,0,0
0,34,0,0,0,0,0,56,0,0,0,4,0,0,3,0
0,24,0,28,1,4,0,22,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
